-5.615141666000000242e+01,-3.491994405999999884e+01
-5.615739844000000147e+01,-3.491506944999999718e+01
-5.615638804999999678e+01,-3.491011927000000270e+01
-5.615912173000000251e+01,-3.492587809999999848e+01
-5.616075693999999885e+01,-3.491888491000000272e+01
-5.615627345000000048e+01,-3.491295694000000083e+01
-5.614910714999999897e+01,-3.491837496000000129e+01
-5.615073078999999723e+01,-3.491581597999999786e+01
-5.615721502000000243e+01,-3.491166647000000012e+01
-5.616182407000000154e+01,-3.491003139000000033e+01
