X,Y
-5.613824092000000121e+01,-3.490227888999999806e+01
-5.613845041999999808e+01,-3.490618709000000308e+01
-5.615312876000000131e+01,-3.488828062000000330e+01
-5.612988030000000350e+01,-3.490069605000000053e+01
-5.613313647999999745e+01,-3.490185368000000210e+01
-5.615515040999999741e+01,-3.488794000000000040e+01
-5.615498704000000174e+01,-3.488338379999999717e+01
-5.615579084000000165e+01,-3.491149037000000277e+01
-5.615494232999999724e+01,-3.491180483000000123e+01
-5.615779103999999933e+01,-3.491176295999999724e+01
-5.615694193000000212e+01,-3.491136242999999695e+01
-5.615656560000000042e+01,-3.488037947000000116e+01
-5.615518200000000348e+01,-3.491366232000000025e+01
-5.615985723000000007e+01,-3.491478433999999709e+01
-5.615986268000000337e+01,-3.491471408999999682e+01
-5.615007199000000071e+01,-3.491502737999999795e+01
-5.614984470000000272e+01,-3.491920084000000202e+01
-5.614911084999999957e+01,-3.491525874999999957e+01
-5.615109420999999656e+01,-3.491932134999999704e+01
-5.615415649999999914e+01,-3.491915673999999825e+01
-5.615082713999999697e+01,-3.491897457000000315e+01
-5.615115621000000345e+01,-3.491649037999999905e+01
-5.615280732000000086e+01,-3.491843107999999773e+01
-5.615138574000000204e+01,-3.491567223999999925e+01
-5.614899442000000107e+01,-3.491775812000000201e+01
-5.614916141999999866e+01,-3.491680992999999944e+01
-5.614973350999999724e+01,-3.491604611000000347e+01
-5.614975426000000169e+01,-3.491604070999999720e+01
-5.615393957999999941e+01,-3.492402935999999869e+01
-5.615750287000000185e+01,-3.488098686000000015e+01
-5.615628700999999978e+01,-3.491980896999999828e+01
-5.615412500000000051e+01,-3.492234064000000160e+01
-5.615588479000000177e+01,-3.492083803999999958e+01
-5.615201680999999923e+01,-3.492122834999999981e+01
-5.615196401000000037e+01,-3.492125588999999763e+01
-5.615281053000000355e+01,-3.492084935999999828e+01
-5.615398017999999780e+01,-3.492027811999999898e+01
-5.615327356000000236e+01,-3.492241804999999744e+01
-5.615318575999999950e+01,-3.492272677999999786e+01
-5.615284110999999712e+01,-3.492325144000000137e+01
-5.615536920000000265e+01,-3.492174512999999791e+01
-5.615588338999999962e+01,-3.488075219000000260e+01
-5.615783498999999779e+01,-3.488171504000000311e+01
-5.615676421999999945e+01,-3.488207605000000200e+01
-5.615776608000000181e+01,-3.488390856000000184e+01
-5.615892869999999704e+01,-3.488671907999999888e+01
-5.615970490000000126e+01,-3.488361661999999797e+01
-5.615693011999999840e+01,-3.488387026000000191e+01
-5.615467412999999652e+01,-3.488177223000000282e+01
-5.616192397999999741e+01,-3.488439797000000198e+01
-5.615403215999999986e+01,-3.491824169000000211e+01
-5.615364662000000351e+01,-3.491832991999999791e+01
-5.615398322000000064e+01,-3.491825267000000110e+01
-5.615367262000000181e+01,-3.491731624999999894e+01
-5.616437217000000004e+01,-3.489120697999999976e+01
-5.615958796000000319e+01,-3.489423739000000069e+01
-5.616211970999999892e+01,-3.489585622999999970e+01
-5.613877693999999963e+01,-3.490055390999999929e+01
-5.613755258999999853e+01,-3.489986140999999975e+01
-5.613798917999999816e+01,-3.489740740999999957e+01
-5.613709862999999700e+01,-3.489642514999999889e+01
-5.616386181000000022e+01,-3.489653815999999864e+01
-5.616274649999999724e+01,-3.489382939000000050e+01
-5.616090223999999864e+01,-3.488853463000000232e+01
-5.615777243000000141e+01,-3.489099920000000310e+01
-5.615812632000000093e+01,-3.489039563000000044e+01
-5.615362268999999884e+01,-3.491733638000000184e+01
-5.615068172000000146e+01,-3.490939082999999954e+01
-5.614882172000000082e+01,-3.491209261000000197e+01
-5.614987750000000233e+01,-3.491309997999999837e+01
-5.616416414999999773e+01,-3.488704392000000354e+01
-5.616163363999999802e+01,-3.488807901999999928e+01
-5.616218415000000164e+01,-3.488608625999999902e+01
-5.616380940999999893e+01,-3.488851675000000085e+01
-5.615984007000000133e+01,-3.490025097000000187e+01
-5.616024239000000051e+01,-3.490106520999999873e+01
-5.616120114000000285e+01,-3.489929690000000306e+01
-5.616178098000000318e+01,-3.490356678999999929e+01
-5.616207680000000124e+01,-3.490151592000000136e+01
-5.616181370000000328e+01,-3.490090476999999680e+01
-5.616296845000000104e+01,-3.490261059000000188e+01
-5.616213271000000162e+01,-3.490275898000000154e+01
-5.616248670000000232e+01,-3.489732957999999741e+01
-5.615894560000000268e+01,-3.489927916999999979e+01
-5.616131046000000282e+01,-3.489825710000000214e+01
-5.616115552000000122e+01,-3.490226673000000090e+01
-5.615879048000000040e+01,-3.488605873000000202e+01
-5.615513437999999979e+01,-3.490506847999999707e+01
-5.614700840999999798e+01,-3.490354239999999919e+01
-5.614506544000000332e+01,-3.490280440000000084e+01
-5.614988274000000246e+01,-3.490599270999999959e+01
-5.614790797999999938e+01,-3.490411407999999938e+01
-5.614344006000000320e+01,-3.490261758999999842e+01
-5.614591919000000075e+01,-3.490316228999999737e+01
-5.614832710999999676e+01,-3.490426382999999788e+01
-5.614490449000000183e+01,-3.490382324000000125e+01
-5.614494950999999645e+01,-3.490349366000000231e+01
-5.613173244000000039e+01,-3.489166572999999971e+01
-5.614224130000000201e+01,-3.490237349000000222e+01
-5.615273325999999798e+01,-3.490470684000000290e+01
-5.615462726999999887e+01,-3.490378598000000210e+01
-5.615472846000000118e+01,-3.490598370000000017e+01
-5.615193837000000343e+01,-3.490939961000000125e+01
-5.615226059999999819e+01,-3.490904703999999725e+01
-5.615648865000000001e+01,-3.490170478000000287e+01
-5.613183546999999862e+01,-3.489184159999999935e+01
-5.615733744999999999e+01,-3.489866123000000186e+01
-5.615685383999999658e+01,-3.490100235999999967e+01
-5.615111507000000302e+01,-3.490156131999999900e+01
-5.615440423999999808e+01,-3.489996914999999689e+01
-5.615491549000000049e+01,-3.490110612000000145e+01
-5.615146273999999949e+01,-3.490025578000000195e+01
-5.615710188999999986e+01,-3.490029171999999846e+01
-5.615196256000000119e+01,-3.490195121000000000e+01
-5.615621106999999768e+01,-3.490246010999999982e+01
-5.615262188999999893e+01,-3.491785738000000094e+01
-5.614961616000000078e+01,-3.489406491999999815e+01
-5.614933256999999855e+01,-3.489342764999999957e+01
-5.615852442999999994e+01,-3.492749264999999781e+01
-5.615893710999999655e+01,-3.492783397000000178e+01
-5.615757425999999697e+01,-3.492677643999999759e+01
-5.616024516000000233e+01,-3.492586397000000176e+01
-5.616105747999999664e+01,-3.492592718000000218e+01
-5.615483023000000173e+01,-3.491597904999999713e+01
