Loading matrix data... DONE [0.325 s]
log4j:WARN No appenders could be found for logger (com.graphhopper.jsprit.core.algorithm.termination.TimeTermination).
log4j:WARN Please initialize the log4j system properly.
log4j:WARN See http://logging.apache.org/log4j/1.2/faq.html#noconfig for more info.
Eval 86 -225.0distancia: 0.0desborde: 15 tiempo: 0.0
Eval 85 -144.0distancia: 0.0desborde: 12 tiempo: 0.0
Eval 87 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 88 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 89 9.360074163202053E11distancia: 190291.486328125desborde: 0 tiempo: 1.6562728E7
Eval 105 9.292897849297238E11distancia: 207191.89453125desborde: 0 tiempo: 1.6673596E7
Eval 104 -324.0distancia: 0.0desborde: 18 tiempo: 0.0
Eval 95 9.352955034403314E11distancia: 192152.966796875desborde: 0 tiempo: 1.6566525E7
Eval 103 9.17549337489989E11distancia: 233813.8759765625desborde: 0 tiempo: 1.651223E7
Eval 102 9.221467854774888E11distancia: 223766.576171875desborde: 0 tiempo: 1.7228913E7
Eval 109 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 101 9.354893973999331E11distancia: 191647.7724609375desborde: 0 tiempo: 1.6636872E7
Eval 100 9.249753956715898E11distancia: 217354.2509765625desborde: 0 tiempo: 1.6782833E7
Eval 112 -324.0distancia: 0.0desborde: 18 tiempo: 0.0
Eval 113 -225.0distancia: 0.0desborde: 15 tiempo: 0.0
Eval 99 9.346160595897819E11distancia: 193912.8837890625desborde: 0 tiempo: 1.6676765E7
Eval 98 9.177394434547758E11distancia: 233406.9892578125desborde: 0 tiempo: 1.6504959E7
Eval 97 9.340801567485889E11distancia: 195289.80859375desborde: 0 tiempo: 1.6682601E7
Eval 116 -361.0distancia: 0.0desborde: 19 tiempo: 0.0
Eval 96 9.350314810810571E11distancia: 192838.75390625desborde: 0 tiempo: 1.6668343E7
Eval 118 -196.0distancia: 0.0desborde: 14 tiempo: 0.0
Eval 94 9.235293285067919E11distancia: 220655.92578125desborde: 0 tiempo: 1.5365802E7
Eval 93 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 91 9.16113048649589E11distancia: 236865.3994140625desborde: 0 tiempo: 1.6751986E7
Eval 92 9.363274390626953E11distancia: 189448.7451171875desborde: 0 tiempo: 1.6503288E7
Eval 90 9.355260135811245E11distancia: 191552.21875desborde: 0 tiempo: 1.6794817E7
Eval 122 -361.0distancia: 0.0desborde: 19 tiempo: 0.0
