GID;"COD_CIRCUITO";"MUNICIPIO";"VERTICES"
1686;"A_DU_RM_CL_116      ";"A ";"POLYGON ((566262.6417270697 6144610.869597122, 566290.711071781 6144639.52021854, 566479.2037333937 6143882.733365168, 567065.6970468812 6144119.721145821, 566966.455841378 6144407.29363673, 567077.3976095628 6144626.377395765, 567747.8116739278 6144355.587373326, 567665.501050367 6144195.737756556, 567555.753552286 6144190.9661262045, 567552.65003623 6143958.7417252, 567856.3662644211 6143584.969071583, 567976.8499307928 6143539.638583245, 568197.3595661267 6143683.762325154, 568199.9236497184 6143986.978928684, 568000.7080825495 6144151.600175806, 567999.5151749616 6144180.229957914, 567845.109148936 6144311.626516291, 567645.2891815912 6144475.252358866, 567627.3280075561 6144455.791610704, 567499.6868956576 6144558.381663258, 567310.4864748283 6144622.323315325, 567377.2056195888 6144694.164370038, 567518.773417063 6144853.029837453, 567591.5407799212 6144912.675216844, 567903.4093564478 6145271.455848339, 567969.8234203232 6145310.623116778, 567611.755252009 6145781.28748847, 567297.60698184 6145527.86375506, 567198.828402045 6145443.65906409, 567240.8259490967 6145424.432572027, 567394.7110279278 6145411.310588561, 567720.3747994077 6145133.363120594, 567574.8400736914 6144969.934781061, 567472.2500211374 6144886.431249912, 567305.2429588401 6144680.058237216, 567205.0387214618 6144678.865329629, 567218.160704928 6144712.266742088, 567269.455731205 6144986.63548729, 567302.8571436645 6145076.103556379, 567270.6486387928 6145167.957440643, 567211.003259401 6145209.709206216, 567178.7947545293 6145219.252466919, 567061.8898109212 6145216.866651744, 566972.123464808 6145263.91443528, 566749.3480229076 6145086.839724669, 566740.9976697927 6145276.512031135, 566714.65142895 6145588.58829183, 566751.7338380833 6145599.789987438, 566826.384576587 6145714.89532829, 566826.384576586 6145757.80733426, 566820.716953157 6145782.90680946, 566694.4742738671 6145878.930362992, 566564.4473467927 6145727.4310993375, 566361.6530568602 6145849.107673297, 566108.7566482386 6145443.519093432, 566412.9480831373 6145202.551760689, 566261.4488194819 6145052.2454046225, 566158.8587669277 6145113.083691602, 565953.6786618197 6144764.754675953, 566262.6417270697 6144610.869597122))"
1766;"A_DU_RM_CL_119      ";"A ";"POLYGON ((563983.1472536201 6147108.306036096, 563645.508157287 6146569.07424589, 564469.42039991 6146078.68918196, 564807.8881102394 6145871.803865539, 565081.9895766195 6146283.565179478, 565130.7187261982 6146290.874551916, 565172.1385033401 6146340.821930233, 565537.6071251802 6146463.863032919, 566155.24909609 6146078.902751248, 566638.8859056582 6146858.569144506, 565326.8535532523 6147669.909484989, 564394.90856756 6146143.46887444, 563755.3384793397 6146530.86561359, 563940.03852018 6146835.96654553, 564010.117135777 6146796.25707733, 564084.04606337 6146904.99975981, 563983.1472536201 6147108.306036096))"
1788;"E_DU_RM_CL_107      ";"E ";"POLYGON ((581285.8452944884 6139567.460826479, 581418.8510625063 6139646.630926489, 581478.100904785 6139655.72389423, 581543.613728382 6139651.51278912, 581656.3613625383 6139590.261815282, 581720.1451057666 6139497.7447007755, 581754.0676407217 6139416.330616885, 581768.025230546 6139245.369822, 581884.151581299 6139258.05541616, 582077.4624739627 6139258.025453756, 582260.6441627226 6139255.763951425, 582408.7725653606 6139291.947988715, 582634.4242192908 6139348.963288255, 582532.099805319 6139533.3549987115, 582488.9885040009 6139620.616427885, 582421.9841923139 6139742.159132806, 582278.6261300995 6139944.730307673, 582103.0644452139 6140210.669901346, 581921.2698011016 6140486.997760396, 581751.9410754428 6140761.2479663715, 581581.165563341 6140989.752057344, 581532.8437364883 6141033.439462251, 581431.8535303613 6141032.060087052, 581215.0594925514 6140981.545636425, 581006.7454075537 6140945.002131447, 580798.619282873 6140879.32498741, 581150.9394440701 6140328.127147378, 581232.205886527 6140117.93749331, 581196.6073162876 6139836.970050335, 581189.706594682 6139634.26502118, 581209.221407871 6139519.8147563, 581285.8452944884 6139567.460826479))"
1789;"E_DU_RM_CL_102      ";"E ";"POLYGON ((578219.4340178894 6140252.044734924, 578407.5782248124 6139975.071527077, 578599.195254916 6139691.24021089, 578587.115760813 6139676.09356229, 578696.3650711421 6139591.329157421, 578914.2353926522 6139366.998431686, 579000.3873077752 6139288.9598357305, 578983.716012779 6139182.3898734, 579409.1972438354 6139164.009996824, 579852.5498038953 6139151.342780821, 579956.4209751092 6139668.16519369, 579779.7133118855 6139711.867088895, 579630.590202477 6139696.3755631, 578704.9000341406 6140579.57138501, 578535.1693128132 6140468.026758576, 578219.4340178894 6140252.044734924))"
1790;"E_DU_RM_CL_110      ";"E ";"POLYGON ((581532.8437364883 6141033.439462251, 581581.165563341 6140989.752057344, 581581.165563341 6140989.752057344, 581754.6495951512 6140753.938433266, 581923.97832081 6140479.688227291, 582105.7729649222 6140203.360368241, 582280.2958232701 6139938.459601106, 582423.6538854844 6139734.330186431, 582491.1776104404 6139613.30689478, 582534.8083250273 6139526.045465606, 582637.1327389992 6139341.65375515, 582955.672265052 6139443.71319904, 583142.753061673 6139511.14655828, 583200.419644743 6139519.74306452, 583358.185873982 6139525.47388275, 583592.858743678 6139517.6752719, 583695.985965752 6139533.01952732, 583765.350671826 6139546.71724862, 583742.608228384 6139699.16465358, 583694.578274271 6139814.26408484, 583592.458664386 6139954.61533404, 583563.2102469392 6140007.82748477, 583571.678341934 6140044.05988497, 583729.872803256 6140238.71775591, 583817.009546809 6140177.33005182, 583908.4046452142 6140305.078216617, 583830.0966567167 6140452.105460326, 583778.9567458611 6140563.974015322, 583599.9670578666 6140918.757146881, 582837.9850585681 6140750.5418183105, 582485.2816072011 6140741.988308745, 582297.9988470504 6140761.08942624, 581991.9624186383 6140825.99485103, 581814.6444785397 6140904.699941936, 581532.8437364883 6141033.439462251))"
1806;"E_DU_RM_CL_112      ";"E ";"POLYGON ((583762.819453761 6139529.92365097, 583832.226067448 6139284.01582891, 583813.849858076 6139242.4916934, 583754.675653279 6139194.17528482, 583715.771862266 6139161.95927508, 583673.021952883 6139066.91523837, 583585.838921465 6139068.40397014, 583561.245093954 6138997.43810494, 583555.269965026 6138909.6949214, 583554.360141368 6138810.03675164, 583552.65373234 6138479.7926852, 583424.758448897 6138482.91368664, 583422.202943724 6138346.14653052, 583513.7769832043 6138185.126407687, 583542.1157887087 6138185.959901966, 583574.345077458 6138189.04296891, 583621.2977452651 6138182.625924848, 583673.8078848762 6138157.621096462, 583740.4874272395 6138026.762494574, 583802.1660039255 6137888.40244417, 583869.6790405683 6137728.3715424985, 583952.2423673193 6137704.288394399, 584198.1935072668 6137876.726462998, 584341.5893748377 6137978.374166595, 584421.4522536242 6137999.25718335, 584503.1346930192 6137998.42368907, 584554.8113383508 6138000.090677629, 584674.8345146045 6137987.588263436, 584679.0019860023 6138095.109025497, 584689.378855052 6138387.91991672, 584689.052247166 6138635.4523997, 584704.049699558 6138700.45403698, 584742.807538147 6138787.38414779, 584681.700114597 6138830.94310862, 584639.703566983 6138818.30328638, 584580.409731092 6138916.56416853, 584488.220003303 6139137.59870991, 584387.056948189 6139379.56666604, 584243.707070224 6139731.37562992, 584110.972222912 6139672.6603293, 583924.389794468 6139593.59036278, 583762.819453761 6139529.92365097))"
1814;"E_DU_RM_CL_104      ";"E ";"POLYGON ((580425.9923100038 6137882.5746856555, 580627.3862931548 6137993.422723392, 580427.6414103727 6138371.04227512, 580371.9056599651 6138345.074482316, 580007.089839116 6139022.137177605, 580050.7164338533 6139142.013086033, 579852.5498038953 6139151.342780821, 579409.1972438354 6139164.009996824, 578983.716012779 6139182.3898734, 578783.246851118 6139187.57374879, 578934.726450373 6139041.64575788, 579082.240615093 6138894.13159316, 579511.3951147988 6138473.8649085425, 579812.0147126896 6138162.033211091, 579974.1550775114 6137972.658331865, 580133.569202254 6137767.73397652, 580425.9923100038 6137882.5746856555))"
1826;"A_DU_RM_CL_118      ";"A ";"POLYGON ((567134.3110796621 6139878.786829951, 567194.649614177 6139486.43429609, 567091.105277929 6139469.95454239, 567071.6984030989 6139609.909890063, 566701.6879411452 6139550.545500825, 566686.4530110358 6139553.640096003, 566683.1203700744 6139546.974814081, 566658.469211974 6139543.98774378, 566626.268971033 6139556.10433384, 566477.844603704 6139511.78038232, 566212.293755188 6139575.95805712, 566182.051753849 6139518.2335033, 566057.80965329 6139366.37323424, 565928.284345494 6139348.63152657, 565829.283265526 6139361.31552839, 565778.522612339 6138991.52942451, 565786.829320814 6138942.62813147, 565772.138279502 6138906.34211614, 565759.474483743 6138884.40668952, 565775.511253585 6138840.23875183, 566555.616503512 6138961.01174939, 566535.323325866 6139080.87006152, 566812.675403912 6139120.03054797, 566828.155180969 6139000.2061553, 566933.122643594 6139014.76209206, 566970.1810138868 6138843.945855831, 566885.6227589962 6138773.152898248, 566854.1592222928 6138558.807554456, 566871.8574616885 6138381.8251605, 566828.2596805833 6138214.372587755, 566751.9027280065 6138242.205716378, 566688.4889694583 6138085.743020271, 566894.0937111856 6137959.1391152665, 566896.1193736657 6138187.0261442745, 566841.4264867037 6138210.827678416, 566889.5557010842 6138381.8251605, 566867.9245196006 6138564.706967588, 566895.4551142161 6138749.555245721, 567275.9881514463 6139052.059446366, 567275.9881514463 6139052.059446366, 567149.7288786503 6139882.120408111, 567134.3110796621 6139878.786829951))"
1807;"E_DU_RM_CL_113      ";"E ";"POLYGON ((584242.409008617 6139731.89171515, 584997.882693383 6140044.5763423, 585897.245000562 6140132.30540013, 586254.602031705 6139263.33005033, 584765.996607698 6138658.2856672, 584699.498812417 6138685.8113702, 584743.481747963 6138788.65158297, 584680.440127092 6138832.07212051, 584639.481880955 6138817.62277605, 584582.070911267 6138915.11738299, 584387.848528213 6139378.04427978, 584242.409008617 6139731.89171515))"
1808;"E_DU_RM_CL_114      ";"E ";"POLYGON ((584697.716183785 6138686.92623919, 584674.8345146045 6137987.588263436, 584748.1820112042 6137946.747043739, 584793.1907022994 6137924.242698191, 584854.8692789854 6137889.23593845, 584914.8808671123 6137855.062672989, 585006.514947031 6137840.55244861, 585090.303652985 6137834.28221063, 585122.162303106 6137819.70834755, 585182.528960091 6137786.19848068, 585215.644360532 6137762.43537648, 585319.332360629 6137736.51672046, 585384.1381464937 6137735.039496735, 585428.781000731 6137733.63697646, 585506.547144803 6137771.07486449, 585667.5262015376 6137940.912583782, 585762.5445494052 6138043.432380166, 585849.294089123 6138148.33428884, 585875.8997714227 6138190.960867644, 585909.778889179 6138246.24891293, 586060.648585319 6138399.71857708, 586113.4456410919 6138438.508668669, 586200.1290461641 6138508.52218815, 586253.623753499 6138555.23009722, 586498.5199982398 6138660.218147026, 586527.6922980237 6138675.221044058, 586281.037197476 6139272.96692897, 586139.273423342 6139217.18304351, 585863.484687125 6139106.63572864, 585685.121850726 6139030.31935698, 584768.060088437 6138657.71735682, 584697.716183785 6138686.92623919))"
1846;"D_DU_RM_CL_103      ";"D ";"POLYGON ((578311.3514390575 6140803.480328591, 578535.1693128132 6140468.026758576, 578704.9000341406 6140579.57138501, 578901.2330556355 6140721.728516484, 578973.7834660623 6140791.0738886995, 579035.0743587672 6140872.493104054, 579128.163743744 6141386.397696254, 578728.7437264278 6141460.926874934, 578665.7181839629 6141147.406412878, 578693.511847032 6141088.320384223, 578674.5225099898 6141047.968043008, 578666.4239949643 6141053.180644178, 578630.7805393885 6141028.477259126, 578630.6277142165 6141018.788468753, 578311.3514390575 6140803.480328591))"
1851;"D_DU_RM_CL_101      ";"D ";"POLYGON ((577201.147791523 6140018.03522661, 577274.9224951459 6139890.16706649, 577366.6024864863 6139819.364576353, 577428.0809467275 6139754.38971079, 577449.5789283715 6139717.567336098, 577500.0486229341 6139753.515609459, 577802.7790503778 6139968.253169639, 577869.7934857118 6140013.997805933, 578066.7576521718 6140150.648980592, 577956.3295174259 6140310.900891174, 577949.808787051 6140305.300300825, 577522.1617974151 6140936.196093389, 577482.1895303051 6140910.853830941, 577150.9985894024 6140914.617364361, 577036.226786051 6140799.75721912, 577561.4560677239 6140304.419584638, 577467.468119191 6140230.863798831, 577201.147791523 6140018.03522661))"
1887;"D_DU_RM_CL_107      ";"D ";"POLYGON ((577593.8938592098 6142104.94505326, 577544.1433004431 6141871.657602174, 577635.5424039931 6141819.4295430025, 577796.5789197716 6141964.921993552, 577738.4643468176 6142048.813450708, 577889.9182114511 6142154.0232994, 577952.0195720674 6142060.673435367, 578280.7968050966 6142310.568978953, 578267.2532149235 6142331.140170363, 578225.5200698795 6142666.372142627, 578213.8680190885 6142885.430697497, 577850.3240344106 6143162.749506321, 577593.8938592098 6142104.94505326))"
1889;"D_DU_RM_CL_108      ";"D ";"POLYGON ((575955.8172760011 6141824.504017711, 576421.1011486391 6141387.97941314, 576668.1636784032 6141525.770273475, 576839.0677117829 6141640.893129293, 577169.0074428909 6141961.338191879, 577097.7974289827 6142019.49303657, 577024.2137479442 6142033.7350393515, 576801.0890376986 6142268.728085248, 576426.0496311153 6142525.084135317, 575955.8172760011 6141824.504017711))"
1927;"G_DU_RM_CL_104      ";"G ";"POLYGON ((573623.57758475 6144559.373461875, 573067.5203533735 6144962.524055215, 573103.6445798439 6145729.469171047, 572998.0506870846 6145732.247957699, 572873.0052877642 6145568.299545256, 571988.2999471534 6146197.205800949, 571323.4494526081 6146679.208885276, 571326.5839494761 6146589.423085737, 571341.5439873291 6146160.901694172, 571351.1089615498 6145960.037235535, 571322.5775119374 6145806.257701252, 571688.0623357029 6145543.17467979, 572048.9305318213 6145278.246897002, 573046.9756329347 6144547.792328316, 573402.1027167104 6144293.753361287, 573623.57758475 6144559.373461875))"
1928;"G_DU_RM_CL_105      ";"G ";"POLYGON ((574273.4000941445 6145313.619504126, 573759.4382296122 6145690.566157926, 573250.9391687986 6146065.6597582605, 573126.1074113508 6146154.120220558, 573125.409386628 6146136.669602486, 572775.5961484996 6146393.775648522, 572437.4456203287 6146633.2620703485, 571980.9776660686 6146955.482851336, 571916.687305585 6146991.882149768, 571272.0279067538 6147476.008137916, 571323.4494526081 6146679.208885276, 571988.2999471534 6146197.205800949, 572873.0052877642 6145568.299545256, 572998.0506870846 6145732.247957699, 573103.6445798439 6145729.469171047, 573067.5203533735 6144962.524055215, 573623.57758475 6144559.373461875, 574273.4000941445 6145313.619504126))"
1946;"G_DU_RM_CL_102      ";"G ";"POLYGON ((574167.8199111536 6143596.910200206, 574272.0306051892 6143675.368341089, 574341.5321696819 6143738.022460804, 574412.9304416501 6143835.943610111, 574427.1103896954 6143872.406333656, 574416.9818553773 6143906.843350337, 574394.6990798776 6143933.177539564, 574392.673373014 6143989.897331745, 574414.799828802 6144069.438788039, 574433.1875102861 6144099.28550238, 574442.5319801513 6144159.825059103, 574518.8809894215 6144260.824869572, 574685.2738975171 6144408.729676768, 574652.4061625848 6144548.75992247, 574689.7247366227 6144590.529335613, 574750.6669951433 6144615.86488129, 574808.1855312752 6144603.53948069, 574840.0261494911 6144689.13254041, 574883.8497960676 6144741.173120719, 574858.5859516435 6144788.025836007, 574666.4434243789 6145123.260539309, 574273.4000941445 6145313.619504126, 573623.57758475 6144559.373461875, 573402.1027167104 6144293.753361287, 573891.919628441 6143923.16745425, 574167.8199111536 6143596.910200206))"
1966;"G_DU_RM_CL_101      ";"G ";"POLYGON ((574167.8199111536 6143596.910200206, 574167.8199111536 6143596.910200206, 573894.3494845667 6143918.99759152, 573718.112987433 6144058.771365109, 573398.0513029832 6144297.804775014, 573046.9756329347 6144547.792328316, 573024.836459633 6144098.67478241, 572943.1096484326 6143966.791977509, 572824.096541191 6143821.271405472, 572492.560334951 6143633.372923751, 572589.7942644041 6143568.550304116, 572371.0179231346 6143272.7971020285, 572290.6616261277 6143329.961297236, 572133.0543390524 6143097.491583552, 572369.8154035854 6142937.250697467, 572812.6220194008 6142622.54519881, 572871.3675184455 6142616.468078219, 572891.6245870815 6142630.648026265, 572913.9073625811 6142689.39352531, 572938.2158449445 6142729.907662582, 572978.7299822166 6142750.164731218, 573057.7325498973 6142786.627454762, 573098.2466871693 6142812.961643989, 573116.4780489418 6142873.732849898, 573152.9407724867 6142972.992486214, 573181.3006685772 6143027.686571532, 573217.7633921221 6143054.020760759, 573310.9459078481 6143082.38065685, 573406.1541304375 6143098.5863117585, 573477.0538706637 6143122.894794121, 573535.7993697084 6143177.588879439, 573576.3135069805 6143262.668567711, 573600.6219893438 6143376.108152073, 573616.8276442526 6143442.9564785715, 573675.5731432972 6143538.164701162, 573714.0615737058 6143607.0387345245, 573760.6528315687 6143653.629992387, 573813.3212100224 6143677.93847475, 573882.195243385 6143681.989888478, 573947.0178630205 6143671.861354159, 574102.9972915181 6143576.65313157, 574135.4086013358 6143570.576010979, 574167.8199111536 6143596.910200206))"
1810;"E_DU_RM_CL_116      ";"E ";"POLYGON ((585946.055409055 6141118.39413645, 586002.719045692 6141086.98998102, 586155.876550965 6141027.49333971, 586172.518756554 6141022.14399218, 586123.50686526 6140901.06663263, 586053.277803442 6140783.09883954, 586074.849919177 6140618.50946257, 586087.405486447 6140455.72178773, 586103.227871734 6140303.05502807, 586068.909769845 6140300.67695159, 586083.762044539 6140152.02390655, 586398.210840147 6140184.24395171, 586775.609522929 6140228.88743055, 587252.732209603 6140281.24527723, 587265.2745898 6140241.1733555, 587436.701865107 6139825.17891285, 587528.841117041 6139605.39923427, 587581.190932834 6139468.08913899, 587578.772870339 6139352.15159165, 587634.872778796 6139333.37380772, 587625.315346983 6139304.13524061, 587955.762156026 6139493.16250698, 588182.143999343 6139623.88580079, 588528.9120632011 6139900.457634985, 588541.4144773942 6139912.126554899, 588544.7484545123 6139957.968740273, 588521.167866065 6139984.66786658, 588505.650202051 6139996.34383459, 588458.8985437197 6140004.644419928, 588362.2132072928 6139989.6415228965, 588279.6972736183 6139999.643454251, 588213.8512255347 6140052.987088141, 588177.118937745 6140084.11183467, 588154.6731316871 6140209.684012695, 588131.33529186 6140248.858243833, 588111.331429151 6140328.04020039, 588091.3275664421 6140358.879488734, 588034.2305446406 6140492.827676036, 588016.766041595 6140615.78540317, 587989.73464957 6140704.37637925, 587926.661337511 6140740.41333928, 587827.1098798276 6140768.125179987, 587701.3159622039 6140773.996034272, 587681.9388938573 6140776.70882384, 587667.2123219139 6140774.7711170055, 587640.4719675956 6140761.207169163, 587609.0811168741 6140786.009816647, 587609.8561996081 6140832.514780679, 587604.430620471 6140865.455796868, 587586.2161762252 6140912.3483022675, 587600.5552068016 6140942.964070255, 587600.9427481686 6140963.503762702, 587585.4410934913 6141060.0015630685, 587563.3512355762 6141084.804210552, 587531.9603848547 6141096.43045156, 587454.5379368729 6141101.522891805, 587390.8953272916 6141101.0809479635, 587340.9024909574 6141103.018654798, 587320.7503398769 6141108.056692568, 587302.1483542642 6141111.54456487, 587251.7679765631 6141122.3957231445, 587110.035701539 6141122.24791601, 587035.400132405 6141120.35110969, 586905.735448561 6141119.25746764, 586791.9099846381 6141083.186017654, 586722.11362439 6141053.85257158, 586666.3492186579 6141014.711994687, 586580.1587876703 6141009.233644, 586499.86816893 6141022.55632857, 586263.9250322538 6141118.907850841, 586252.6863326128 6141127.821302281, 586201.1433308108 6141134.021964151, 586180.6036383634 6141138.284919188, 586106.9707786464 6141162.3124839375, 586026.7497156915 6141196.416124227, 585989.1582030992 6141237.883050489, 585925.451287648 6141314.34812382, 585875.6085825881 6141294.076548695, 585946.055409055 6141118.39413645))"
1886;"D_DU_RM_CL_110      ";"D ";"POLYGON ((576740.2515301495 6142976.267830682, 577419.5910105639 6142628.313462664, 577414.0679253573 6142543.626156163, 577666.2888164597 6142414.754168008, 577846.709599876 6143162.211699304, 577196.5780019093 6143654.251002713, 576832.4272338804 6143117.84095507, 576740.2515301495 6142976.267830682))"
1888;"D_DU_RM_CL_109      ";"D ";"POLYGON ((576426.0496311153 6142525.084135317, 576426.0496311153 6142525.084135317, 576801.0890376986 6142268.728085248, 577024.2137479442 6142033.7350393515, 577097.7974289827 6142019.49303657, 577169.0074428909 6141961.338191879, 577187.9967799331 6141957.777691183, 577271.0751294927 6141957.777691183, 577370.7691489642 6141983.888029615, 577470.4631684356 6142045.603375003, 577544.0468494742 6142121.560723172, 577593.8938592098 6142104.94505326, 577665.1038731181 6142413.521780195, 577415.8688244394 6142541.699805229, 577420.6161587 6142627.151821919, 576740.2515301495 6142976.267830682, 576426.0496311153 6142525.084135317))"
1986;"D_DU_RM_CL_121      ";"D ";"POLYGON ((578320.2845031405 6150045.776551546, 579047.4897274028 6150136.792123229, 579034.6188384778 6149965.793170368, 579571.5187764919 6150086.227916738, 579871.6514342222 6150572.742620262, 579590.1416518621 6150508.397527152, 579515.072376566 6150805.993582789, 579273.7782774002 6150738.967444132, 579185.3037743727 6151012.434089853, 579576.7364241306 6151090.184410695, 579490.9429666494 6151441.401377259, 579436.7383310326 6151381.056841521, 579352.2871899323 6151382.496349608, 579437.3220557236 6151484.298105999, 579402.4684636219 6151741.678478442, 579228.2005031132 6151712.186977433, 579182.6227288264 6151701.462795248, 578989.5874494937 6151712.186977433, 578997.6305861325 6151808.704617099, 578965.4580395771 6151808.704617099, 578941.3286296605 6151688.057567516, 579177.2606377339 6151680.014430878, 579230.8815486595 6151696.100704155, 579236.2436397522 6151578.134700119, 579037.8462693269 6151559.367381295, 579021.7599960491 6151403.86673961, 579053.9325426046 6151221.555642463, 578876.9835365496 6151197.426232547, 578860.8972632719 6151291.262826666, 578582.068526458 6151256.409234565, 578598.1547997358 6151119.675911704, 578952.0528118457 6151159.891594899, 579008.3547683177 6150891.78704027, 578603.5168908283 6150414.560933032, 578285.3492332012 6150043.018503918, 578320.2845031405 6150045.776551546))"
2007;"D_DU_RM_CL_112      ";"D ";"POLYGON ((574167.8199111536 6143596.910200206, 574267.145955371 6143467.34922235, 574448.8573217903 6143283.0372832185, 574801.6033447918 6142934.645920833, 575314.3152370381 6142422.092887682, 575485.222391161 6142607.898761653, 575523.642845732 6142650.25447975, 575560.4182604305 6142710.845947687, 575589.2573447918 6142758.361454166, 575668.0227447917 6142900.889320833, 575728.034478125 6143005.909854166, 575775.020105877 6143098.700725311, 575809.109353426 6143223.814576793, 575829.304278125 6143298.467054166, 575881.8145447917 6143482.252987499, 575896.2674342794 6143605.556524252, 575928.6824595223 6143891.362742699, 575585.5066114584 6143988.601987499, 575341.7089447917 6143527.261787499, 575089.7278615335 6143303.537131896, 574592.6294965557 6143771.202041055, 574751.9439161585 6143935.188437773, 574442.5319801513 6144159.825059103, 574433.1875102861 6144099.28550238, 574414.799828802 6144069.438788039, 574392.673373014 6143989.897331745, 574394.6990798776 6143933.177539564, 574416.9818553773 6143906.843350337, 574427.1103896954 6143872.406333656, 574412.9304416501 6143835.943610111, 574341.5321696819 6143738.022460804, 574272.0306051892 6143675.368341089, 574167.8199111536 6143596.910200206))"
2009;"D_DU_RM_CL_114      ";"D ";"POLYGON ((576405.5575340396 6144920.508078063, 576432.5528540709 6144846.374514583, 576516.9914700716 6144593.734305195, 577063.5283243888 6144126.586478873, 577350.1533663776 6143874.354966366, 577580.1792688819 6144201.81860054, 578226.9359392588 6145146.866704396, 577699.6957951258 6145084.654391778, 577429.5275827383 6145051.088808102, 577318.4525923525 6145037.6133039165, 577318.4525923525 6145037.6133039165, 576865.4554384751 6144975.817101299, 576405.5575340396 6144920.508078063))"
2031;"D_DU_RM_CL_116      ";"D ";"POLYGON ((576861.6504933034 6145001.081363209, 576865.4554384751 6144975.817101299, 577318.4525923525 6145037.6133039165, 577318.4525923525 6145037.6133039165, 577579.6098155695 6145069.774628167, 577764.4133890506 6145093.456719377, 577764.4133890506 6145093.456719377, 577848.7205277189 6145103.205758878, 577848.7205277189 6145103.205758878, 578226.9359392588 6145146.866704396, 578295.2835198928 6145246.0809343485, 578445.2072451549 6145462.147479579, 578551.0357571045 6145607.66168351, 578551.0357571045 6145790.656818756, 578544.4214751077 6145790.656818756, 577297.169316862 6145629.325213614, 576819.5291472294 6145951.195877011, 576542.9587994221 6145913.44561402, 576579.1195776556 6145542.300923141, 576584.3892433738 6145523.880778217, 576937.7619528295 6145564.930235295, 576969.780517041 6145282.246999882, 576828.9695937686 6145266.679963137, 576861.6504933034 6145001.081363209))"
2046;"G_DU_RM_CL_107      ";"G ";"POLYGON ((571168.5683025952 6144812.002525208, 571168.7324131937 6145014.648289903, 570163.873385775 6145736.420898751, 570041.894675083 6145771.463458226, 569437.6326714971 6145832.051949185, 569299.1446921614 6145858.018445311, 569087.955785302 6145958.1340490235, 568909.4893701543 6145950.611795622, 568707.1348105497 6145904.2459802395, 568648.1357183403 6145859.294290939, 568594.7555872937 6145791.866756988, 568639.9258154716 6145723.363526435, 568684.0489793407 6145697.408724159, 568592.557617249 6145596.555102403, 568870.410083682 6145400.111638873, 569264.2326778498 6145132.120245542, 569309.2961626854 6145084.910880476, 569334.6773683589 6145060.317539794, 569432.8256937511 6144984.682281832, 569576.6487994125 6144875.216918078, 569682.1190768975 6144792.91814095, 569746.0404571915 6144744.977105729, 569944.1967361028 6144601.9530173205, 570028.0935477387 6144542.0267232945, 570184.700929459 6144426.968238765, 570326.926000613 6144323.095995787, 570530.4458385499 6144177.796754686, 570741.0473895405 6144032.086437894, 571084.3810104834 6143806.146958819, 571151.3829163662 6144080.893082981, 571159.8113581104 6144527.600495406, 571168.5683025952 6144812.002525208))"
1706;"A_DU_RM_CL_113      ";"A ";"POLYGON ((568507.280623834 6142662.49742282, 568097.704220927 6142612.3281473, 568093.548942182 6142329.87772242, 568418.79642847 6142378.62839039, 568290.943673984 6141777.79931904, 568139.470493215 6141868.98744101, 568002.994199131 6142041.93701572, 567944.264430793 6142163.13886831, 567900.638667945 6142380.43586367, 567836.009599614 6142538.53061626, 567715.830843259 6142692.94417349, 567210.08371029 6142987.34740691, 566910.587953146 6143087.79890204, 566616.555426664 6143091.987907, 566722.512040749 6142393.18441272, 566479.429620213 6142331.49640042, 566545.571492956 6142095.62293417, 566767.938353918 6142136.98957813, 566872.208496861 6141453.485813104, 567763.9406545621 6141581.411874979, 567967.7056195695 6141468.486914822, 568267.5894105632 6141513.195182345, 568233.632606116 6141306.05684837, 568913.238467786 6141410.85974911, 568772.471897478 6141557.23711427, 568602.656667766 6141669.03655286, 568356.567255636 6141754.79496283, 568353.7563187293 6141807.637938699, 568594.0631592275 6141736.862636359, 568803.0971917156 6141614.240310214, 568844.2456233078 6141730.278887305, 568900.2074902732 6141754.96794626, 568970.1598239798 6141858.661993873, 568782.5229759195 6141990.336974968, 568705.9868931582 6141929.437296212, 568743.8434502229 6141856.193087977, 568542.2161354213 6141921.207609893, 568657.705348575 6142430.06217395, 568507.280623834 6142662.49742282))"
1746;"A_DU_RM_CL_114      ";"A ";"POLYGON ((567763.9406545621 6141581.411874979, 566872.208496861 6141453.485813104, 566895.1824673482 6141327.388341023, 566942.138087998 6141335.53805919, 567070.5563973589 6140448.828695248, 567915.7687107675 6140574.250984673, 567905.3274797695 6140673.442679149, 567918.6163192216 6140675.341084785, 567936.3883212297 6140578.471963173, 568323.904819052 6140638.80387301, 568293.588851957 6140869.24242044, 568233.632606116 6141306.05684837, 568267.5894105632 6141513.195182345, 567968.1223168395 6141468.070217552, 567763.9406545621 6141581.411874979))"
