GID;"COD_CIRCUITO";"MUNICIPIO";"VERTICES"
38;"CH_DU_RM_CL_11      ";"CH";"POLYGON ((577674.153263963 6138692.69416938, 577680.371183969 6138679.26946536, 577712.928879999 6138608.9752573, 577751.949904036 6138524.72687322, 577753.993712037 6138520.31410522, 577689.515855977 6138356.49493706, 577688.902351977 6138354.93637706, 577706.173679993 6138339.94540105, 577743.029264027 6138307.95570502, 577865.188240141 6138201.92485692, 577893.999216168 6138221.12994494, 577894.249104168 6138221.26540094, 577957.407440227 6138255.49244097, 577997.982224265 6138277.48095299, 578102.034416361 6138333.86956104, 578193.533936447 6138383.45544909, 578193.792656447 6138382.98364109, 578289.527728536 6138208.43868093, 578663.364304884 6138328.15752904, 578663.501904884 6138328.20156104, 579511.3951147988 6138473.8649085425, 579082.240615093 6138894.13159316, 578934.726450373 6139041.64575788, 578783.246851118 6139187.57374879, 578405.077984406 6139175.9302516, 578173.5103228689 6139090.540144014, 577891.664766831 6138956.267654397, 577620.074037519 6138811.80660747, 577674.153263963 6138692.69416938))"
39;"CH_DU_RM_CL_09      ";"CH";"POLYGON ((578501.3235160774 6137354.076660904, 578534.153924738 6137232.88019632, 578560.4941012947 6137135.585230744, 578593.5268248635 6137023.273970613, 578608.3915504694 6136992.718701312, 578534.246544764 6136924.67925573, 578503.099744094 6136895.272166787, 578540.6744671535 6136853.981262326, 578550.1713751795 6136795.761087038, 578541.0873761981 6136731.34727608, 578525.100688756 6136634.07611946, 578533.741168764 6136618.32107945, 578544.443344774 6136598.80645543, 578638.811344861 6136426.73371927, 578654.969584876 6136423.18725526, 578646.635024869 6136439.04965528, 578655.376528877 6136443.94751128, 578668.233712889 6136420.27592726, 578743.574032959 6136403.73967125, 579001.647825199 6136488.05147932, 579010.935281208 6136490.20917533, 579108.383057299 6136512.84866335, 579117.230545307 6136514.90405535, 579168.448145355 6136580.89666341, 579177.999249364 6136641.77896747, 579169.411537356 6136682.5661995, 579145.360273333 6136796.79682361, 579144.569937333 6136800.55023161, 579158.707153346 6136851.64975166, 579223.534481406 6137085.97035988, 579237.893361419 6137137.87093593, 579247.584145428 6137138.20511193, 579295.382289473 6137139.85317593, 579307.139665484 6137140.25855193, 579374.529233547 6137130.88095192, 579379.610577551 6137136.39746393, 579391.271249562 6137139.76194393, 579393.502033564 6137132.73807192, 579400.768753571 6137127.22968792, 579632.482673787 6137094.98565589, 579816.688433958 6137107.0407279, 579942.258578075 6137151.85746394, 579967.573458099 6137160.89256795, 579978.707730109 6137178.44834397, 580029.656402157 6137258.78165604, 580029.922642157 6137274.64232806, 580030.854738158 6137330.18607211, 580033.39083416 6137481.28028025, 580032.76104216 6137529.76552829, 580032.196882159 6137573.20056833, 580065.808882191 6137681.25135244, 580133.569202254 6137767.73397652, 579974.1550775114 6137972.658331865, 579548.927825709 6137709.69490446, 579210.849073394 6137759.84767251, 579150.971729338 6137754.8949365, 578860.405457068 6137632.90876039, 578800.408177012 6137607.72056837, 578733.2479899494 6137582.955913014, 578711.239402308 6137620.941105014, 578693.1434524696 6137615.561228035, 578713.306448931 6137571.79266433, 578577.872304805 6137526.72706429, 578478.918384713 6137493.80015226, 578482.4175977845 6137480.194104481, 578469.5719329952 6137471.432229176, 578501.3235160774 6137354.076660904))"
40;"CH_DU_RM_CL_07      ";"CH";"POLYGON ((577690.633583978 6136876.46235969, 577690.452623978 6136872.04351168, 577690.714127978 6136871.71195968, 577692.07255998 6136869.99019968, 577695.631247983 6136865.47912768, 577818.180240097 6136710.13723953, 577881.341872156 6136630.07413546, 577945.894736216 6136548.24757538, 578010.697936276 6136466.1035753, 578050.833264314 6136415.22863126, 578053.168880316 6136412.26786325, 578188.187376442 6136552.33317538, 578195.526800449 6136561.45087139, 578216.527184468 6136587.53919142, 578251.866032501 6136631.43976746, 578263.707792512 6136636.30875946, 578319.532304564 6136659.26223148, 578319.548112564 6136659.26875948, 578338.855408582 6136667.20731949, 578342.625968586 6136666.53666349, 578525.100688756 6136634.07611946, 578541.0873761981 6136731.34727608, 578550.1713751795 6136795.761087038, 578540.6744671535 6136853.981262326, 578503.5126531386 6136895.272166787, 578534.246544764 6136924.67925573, 578608.3915504694 6136992.718701312, 578593.5268248635 6137023.273970613, 578560.4941012947 6137135.585230744, 578534.153924738 6137232.88019632, 578469.5719329952 6137471.432229176, 578278.471448046 6137328.165768502, 578144.5820016803 6137231.765367119, 578071.857232333 6137182.09477597, 578054.678544317 6137168.94027996, 578053.638096316 6137168.72597596, 577964.292624233 6137150.32056794, 577931.487472203 6137143.56267993, 577877.167184152 6137132.37256792, 577876.389840151 6137132.21243992, 577873.890832149 6137129.81048792, 577815.093072094 6137073.29455187, 577801.531280082 6137060.25906386, 577729.205392014 6136990.73992779, 577693.923695982 6136956.82754376, 577693.919119981 6136956.71547976, 577690.633583978 6136876.46235969))"
41;"CH_DU_RM_CL_04      ";"CH";"POLYGON ((577325.384143638 6136385.64853523, 577326.90068764 6136284.86527113, 577327.36161564 6136254.23695111, 577328.709903641 6136164.63855102, 577420.869839727 6136135.41775099, 577756.57153604 6136023.41896689, 577772.2834255269 6136098.660351183, 577922.320144194 6136262.05010311, 578052.966736316 6136412.03573525, 578053.168880316 6136412.26786325, 578050.833264314 6136415.22863126, 578010.697936276 6136466.1035753, 577945.894736216 6136548.24757538, 577881.341872156 6136630.07413546, 577818.180240097 6136710.13723953, 577690.452623978 6136872.04351168, 577693.4551346351 6136956.710827899, 577633.6543622344 6136951.274394045, 577621.8754222161 6136963.959406372, 577210.7093169319 6136741.435963514, 577322.0728225163 6136699.5859837085, 577441.5935275544 6136522.964882498, 577353.243727664 6136419.49115926, 577325.616463638 6136387.91387923, 577325.354639638 6136387.61439123, 577325.384143638 6136385.64853523))"
1726;"A_DU_RM_CL_112      ";"A ";"POLYGON ((567208.664793903 6142984.03310323, 567366.210409842 6142898.43583587, 567715.482581681 6142693.165564466, 567856.5993588871 6142618.730341325, 567985.3102655695 6142603.2230031695, 568013.2234742476 6142691.61483065, 567684.4679053719 6142866.847751797, 567502.881166484 6142987.08713747, 567543.513013042 6143120.06408987, 567561.982034214 6143212.4091957, 567573.063446913 6143319.52951847, 567506.574970714 6143578.0958148, 566778.067969454 6143463.48022007, 566728.782536092 6143640.90778018, 566551.354975992 6143611.33652016, 566479.2037333937 6143882.733365168, 566433.667871924 6144054.01647399, 566290.711071781 6144639.52021854, 566262.6417270697 6144610.869597122, 565820.0730119817 6144165.91506686, 564905.221501712 6143202.26742326, 565260.076621912 6143083.98238319, 565560.717765422 6143010.05423315, 565851.501822252 6143005.12568981, 566521.783715974 6143074.12529652, 566613.768588214 6143093.32280072, 566911.914786383 6143086.79424669, 567208.664793903 6142984.03310323))"
1791;"E_DU_RM_CL_103      ";"E ";"POLYGON ((578704.9000341406 6140579.57138501, 579630.590202477 6139696.3755631, 579779.7133118855 6139711.867088895, 579956.4209751092 6139668.16519369, 580154.474646169 6139543.64555198, 580419.471418789 6139469.25540981, 580472.6100271789 6139663.09830729, 580575.2144767927 6140167.8868649565, 580222.965980613 6140247.94814853, 580209.330812757 6140672.95143288, 580191.6886612141 6140729.560798628, 579996.141874126 6140676.25967522, 579918.2005703687 6140653.859712838, 579540.4802646271 6140643.965687524, 579311.8979512093 6140636.792020302, 579035.0743587672 6140872.493104054, 578973.7834660623 6140791.0738886995, 578901.2330556355 6140721.728516484, 578704.9000341406 6140579.57138501))"
1527;"A_DU_RM_CL_102      ";"A ";"POLYGON ((568194.457499436 6138282.71386596, 568698.855675874 6138360.08467769, 568323.904819052 6140638.80387301, 567936.3883212297 6140578.471963173, 567918.6163192216 6140675.341084785, 567905.3274797695 6140673.442679149, 567915.7687107675 6140574.250984673, 567826.946143743 6140561.43306129, 568194.457499436 6138282.71386596))"
1547;"A_DU_RM_CL_105      ";"A ";"POLYGON ((569149.3851385657 6141458.49036441, 569026.6392073529 6141277.559673596, 569094.3885849703 6141209.8102959795, 569315.7323334169 6141424.000004577, 569505.1560485956 6141230.948489837, 570469.613737485 6142172.64780049, 570536.622601325 6142236.22348468, 570655.680905434 6142351.47775678, 570618.664713395 6142372.5389728, 570497.042249284 6142436.54364486, 569768.862184603 6142946.61922934, 569640.0441164928 6143035.562120339, 569564.348424412 6143079.13708546, 569382.5298857326 6142823.210756614, 569270.3162007811 6142661.348570768, 569223.8968706753 6142571.335434997, 569202.9072605405 6142442.975896096, 569226.3187487676 6142405.840432011, 569371.2277879675 6142254.473051231, 569440.654959952 6142183.027647504, 569367.5949708291 6142109.967658382, 569438.6367282084 6142034.889437515, 569398.2720933338 6141999.772205174, 569412.8033618885 6141917.42835003, 569437.0221428133 6141890.787691013, 569285.2511156847 6141749.107822604, 569360.3293365515 6141674.029601737, 569149.3851385657 6141458.49036441))"
1586;"A_DU_RM_CL_115      ";"A ";"POLYGON ((559118.845974862 6149610.45292851, 559279.313769943 6149696.79157912, 559391.2208277152 6149458.384180115, 559713.13376604 6149009.30058725, 559187.8273642287 6148444.357491069, 559327.9973173784 6148324.771936634, 559349.071820824 6148347.806859004, 559803.3989067327 6148825.658972016, 559941.1183362259 6148937.402850751, 560627.2649600361 6148437.496024833, 561391.3382361218 6147967.485587522, 561424.6653578498 6148019.926793771, 560553.259145611 6148548.749798837, 560791.9401497506 6148928.580965589, 560526.30338539 6149051.597253145, 560191.5618539168 6149209.41097662, 560167.0566173522 6149222.643804366, 560121.476877342 6149253.520402437, 560079.817975182 6149289.298047821, 560033.2580257092 6149356.93250074, 559716.6503692938 6149951.429539799, 559732.3337206952 6149964.662367543, 559662.7388488516 6150089.639074023, 559615.6887946476 6150115.6146247815, 559539.7225612971 6150219.516827816, 559552.4652843107 6150279.309605033, 559491.2021928992 6150385.662331725, 559543.6433991473 6150412.618091946, 559549.0345511916 6150437.12332851, 559447.0927670826 6150472.900973895, 559435.3302535316 6150496.916105728, 559369.166114807 6150502.3072577715, 559242.1212133153 6150515.655277571, 559204.4909250926 6150519.460923367, 559120.1929113102 6150536.614588962, 559090.7866274327 6150559.159406601, 559036.8751069905 6150538.575007888, 559023.1521745143 6150514.5598760545, 558972.671387191 6150439.083747435, 559029.523536021 6150228.338712975, 559156.460661426 6149976.9149858225, 559031.9740596774 6149913.201370754, 559061.868574631 6149825.29456375, 559062.708766632 6149822.28579574, 559063.611422633 6149819.27651574, 559064.545054632 6149816.26672374, 559065.547294632 6149813.75613173, 559066.605854631 6149810.74480373, 559067.695902631 6149807.73321973, 559068.848414642 6149804.72086773, 559071.315230642 6149799.19433972, 559072.623902643 6149796.18019572, 559073.969438642 6149793.66576372, 559075.371806641 6149790.65059571, 559076.805406643 6149787.63491571, 559078.307102642 6149785.11843571, 559079.871262653 6149782.60144371, 559081.461022652 6149779.5839717, 559084.776990653 6149774.5474277, 559086.497566652 6149772.02864369, 559088.280350652 6149769.50883569, 559090.094622653 6149766.98877169, 559092.388894661 6149765.46275569, 559094.063902662 6149764.44387569, 559095.77628666 6149763.92445169, 559097.482782662 6149762.90505969, 559099.226142662 6149762.38512369, 559102.738462672 6149760.84528368, 559104.507422671 6149759.82512368, 559106.282014672 6149759.30493168, 559108.088094671 6149758.78448368, 559109.888286671 6149757.76406768, 559111.694110682 6149757.24336368, 559113.531166681 6149756.72240368, 559115.368478683 6149756.20144368, 559117.205534681 6149755.68048368, 559120.947998683 6149755.13750768, 559122.816542693 6149754.61629168, 559124.684830691 6149754.09481968, 559126.55900669 6149754.07331568, 559128.458526691 6149753.55158768, 559130.327070692 6149753.03037168, 559132.658206701 6149752.00381168, 559059.998494632 6149714.35235564, 559118.845974862 6149610.45292851))"
1606;"E_DU_RM_CL_101      ";"E ";"POLYGON ((577500.0486229341 6139753.515609459, 577449.5789283715 6139717.567336098, 577692.1561148042 6139297.015764843, 577891.664766831 6138956.267654397, 578173.5103228689 6139090.540144014, 578405.077984406 6139175.9302516, 578783.246851118 6139187.57374879, 578865.5029068264 6139184.658185713, 578983.716012779 6139182.3898734, 579000.3873077752 6139288.9598357305, 578913.947388494 6139367.00752984, 578696.3650711421 6139591.329157421, 578587.115760813 6139676.09356229, 578599.195254916 6139691.24021089, 578570.7768799986 6139733.316615491, 578491.803328166 6139849.08472068, 578407.5782248124 6139975.071527077, 578325.92907257 6140095.73653868, 578280.983606189 6140162.07092331, 578219.4340178894 6140252.044734924, 578066.7576521718 6140150.648980592, 577869.7934857118 6140013.997805933, 577802.7790503778 6139968.253169639, 577500.0486229341 6139753.515609459))"
